Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
314,Randy Wolf\wolfra02,2007-12-02,San Diego Padres,LAD,31,1.9,9,209,383,35,73,4,36,0,25,.191,.237,.277,.514,78,66,4.25,1.342,212,208,0,1277.2,1239,167,476,1065
315,Francis Beltran\beltrfr01,2007-12-01,Detroit Tigers,BAL,28,,2,52,4,0,1,0,0,0,0,.250,.250,.250,.500,2,2,5.87,1.696,56,0,1,61.1,61,13,43,59
316,Keith Ginter\ginteke01,2007-12-01,Boston Red Sox,CLE,32,-0.9,7,,,,,,,,,,,,,,,,,,,,,,,,
317,Mike Timlin\timlimi01,2007-12-01,Boston Red Sox,BOS,42,4.8,17,192,7,0,0,0,0,0,0,.000,.000,.000,.000,71,69,3.55,1.268,1011,4,140,1155.0,1108,109,357,840
318,Francisco Cruceta\crucefr01,2007-11-30,Detroit Tigers,TEX,26,-0.4,2,0,0,0,0,0,0,0,0,,,,,0,1,10.05,2.093,6,3,0,14.1,20,3,10,11
319,Cesar Izturis\izturce01,2007-11-30,St. Louis Cardinals,PIT,28,-0.3,7,768,2751,292,713,11,207,62,140,.259,.295,.334,.629,,,,,,,,,,,,
320,Kazuo Matsui\matsuka01,2007-11-30,Houston Astros,COL,32,3.5,4,375,1380,212,376,17,131,62,104,.272,.325,.387,.712,,,,,,,,,,,,
321,Kenny Rogers\rogerke01,2007-11-30,Detroit Tigers,DET,43,8.3,19,34,65,5,9,0,4,1,4,.138,.188,.185,.373,210,143,4.19,1.390,732,444,28,3129.0,3245,317,1104,1886
322,Mike Rose\rosemi01,2007-11-30,Colorado Rockies,CLE,31,-0.4,3,,,,,,,,,,,,,,,,,,,,,,,,
323,Dewon Brazelton\brazede01,2007-11-29,St. Louis Cardinals,PIT,28,-2.5,5,,,,,,,,,,,,,,,,,,,,,,,,
324,Matt Herges\hergema01,2007-11-29,Colorado Rockies,COL,38,0.7,9,459,33,0,6,0,1,0,1,.182,.206,.182,.388,37,30,3.82,1.431,479,4,34,592.0,622,56,225,401
325,Troy Percival\percitr01,2007-11-29,Tampa Bay Devil Rays,STL,38,0.7,12,63,5,0,0,0,0,0,0,.000,.000,.000,.000,33,41,3.02,1.090,639,1,324,651.2,436,73,274,736
326,Steve Randolph\randost01,2007-11-29,Houston Astros,HOU,34,-0.8,3,105,15,4,5,0,3,0,0,.333,.333,.533,.867,10,7,5.52,1.806,109,6,0,155.0,144,22,136,134
327,Rene Rivera\riverre01,2007-11-29,Los Angeles Dodgers,SEA,24,0.1,3,53,150,11,34,3,10,1,4,.227,.252,.333,.585,,,,,,,,,,,,
328,Yorvit Torrealba\torreyo01,2007-11-29,Colorado Rockies,COL,29,2.0,7,440,1332,160,334,30,173,10,106,.251,.313,.391,.705,,,,,,,,,,,,
329,Andy Cannizaro\cannian01,2007-11-28,Tampa Bay Devil Rays,NYY,29,0.0,1,13,8,5,2,1,1,0,1,.250,.333,.625,.958,,,,,,,,,,,,
330,Francisco Cordero\cordefr01,2007-11-28,Cincinnati Reds,MIL,33,4.9,9,116,1,0,0,0,0,0,0,.000,.000,.000,.000,26,27,3.29,1.354,470,0,177,506.0,454,36,231,528
331,Kevin Hooper\hoopeke01,2007-11-28,Houston Astros,DET,31,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
332,Chad Hermansen\hermach01,2007-11-27,Los Angeles Angels of Anaheim,NYM,30,,8,,,,,,,,,,,,,,,,,,,,,,,,
333,Mark Johnson\johnsma02,2007-11-27,St. Louis Cardinals,ARI,32,,7,322,917,114,199,16,81,8,123,.217,.313,.318,.632,,,,,,,,,,,,
334,Cody Ransom\ransoco01,2007-11-27,New York Yankees,HOU,32,0.1,5,133,140,32,33,3,16,2,17,.236,.331,.364,.696,,,,,,,,,,,,
335,Mike Rouse\rousemi01,2007-11-27,Chicago White Sox,CLE,28,-0.6,2,49,91,9,15,0,6,2,8,.165,.238,.209,.446,,,,,,,,,,,,
336,Doug Waechter\waechdo01,2007-11-27,Florida Marlins,TBD,27,-0.7,4,1,2,1,0,0,0,0,0,.000,.000,.000,.000,14,25,5.62,1.457,60,54,0,315.2,355,59,105,177
337,Doug Brocail\brocado01,2007-11-26,Houston Astros,SDP,41,0.5,13,221,69,9,12,0,1,2,0,.174,.174,.203,.377,44,43,3.99,1.357,534,42,7,793.2,801,73,276,569
338,Jose Cruz\cruzjo02,2007-11-26,Houston Astros,NYY,34,2.2,11,1350,4675,707,1161,204,623,113,647,.248,.338,.448,.786,,,,,,,,,,,,
339,Justin Lehr\lehrju01,2007-11-26,Cincinnati Reds,SEA,30,-0.6,3,40,3,0,0,0,0,0,0,.000,.000,.000,.000,4,3,5.31,1.566,66,0,0,83.0,91,9,39,51
340,Ricky Stone\stoneri01,2007-11-26,Cincinnati Reds,CIN,33,-0.7,6,210,10,0,0,0,0,0,0,.000,.000,.000,.000,11,9,4.68,1.459,220,0,2,255.2,283,44,90,170
341,Terry Tiffee\tiffete01,2007-11-26,Los Angeles Dodgers,BAL,29,-1.4,3,91,239,20,54,5,29,1,15,.226,.273,.351,.625,,,,,,,,,,,,
342,John Wasdin\wasdijo01,2007-11-26,St. Louis Cardinals,PIT,35,1.1,12,62,19,2,3,0,1,0,1,.158,.200,.211,.411,39,39,5.28,1.419,328,65,7,793.1,874,135,252,527
343,Kerry Wood\woodke02,2007-11-26,Chicago Cubs,CHC,31,1.4,9,206,345,23,59,7,32,0,11,.171,.196,.249,.445,72,57,3.67,1.259,211,178,0,1153.0,893,128,559,1323
344,Adam Greenberg\greenad01,2007-11-25,Kansas City Royals,KCR,27,0.0,1,1,0,0,0,0,0,0,0,,1.000,,,,,,,,,,,,,,
345,Dan Giese\gieseda01,2007-11-24,New York Yankees,SFG,31,0.0,1,8,0,0,0,0,0,0,0,,,,,0,2,4.82,1.071,8,0,0,9.1,8,4,2,7
346,Don Kelly\kellydo01,2007-11-24,Arizona Diamondbacks,PIT,28,-0.5,1,25,27,2,4,0,0,0,3,.148,.281,.148,.429,,,,,,,,,,,,
347,Eli Whiteside\whiteel03,2007-11-24,Minnesota Twins,BAL,28,0.0,1,9,12,1,3,0,1,0,0,.250,.250,.250,.500,,,,,,,,,,,,
348,Mark Kiger\kigerma01,2007-11-23,Seattle Mariners,NYM,28,,1,,,,,,,,,,,,,,,,,,,,,,,,
349,Jon Knott\knottjo02,2007-11-23,Minnesota Twins,BAL,29,-0.1,3,19,31,4,6,1,5,0,5,.194,.297,.355,.652,,,,,,,,,,,,
350,Scott Linebrink\linebsc01,2007-11-23,Chicago White Sox,MIL,31,3.9,8,368,18,0,4,0,0,0,0,.222,.222,.278,.500,30,16,3.21,1.267,384,6,4,442.2,402,48,159,378
351,Tommy Murphy\murphto03,2007-11-23,Washington Nationals,LAA,28,0.4,2,68,108,14,23,1,8,4,5,.213,.252,.306,.558,,,,,,,,,,,,
352,Jon Adkins\adkinjo01,2007-11-22,Cincinnati Reds,NYM,30,0.0,5,55,1,0,0,0,0,0,0,.000,.000,.000,.000,4,5,4.60,1.496,115,0,0,135.0,151,17,51,78
353,Torii Hunter\hunteto01,2007-11-22,Los Angeles Angels of Anaheim,MIN,32,10.4,11,1234,4492,672,1218,192,711,126,319,.271,.324,.469,.793,,,,,,,,,,,,
354,Tomas Perez\perezto03,2007-11-22,Houston Astros,CHW,34,-0.8,11,781,1886,205,453,24,180,6,131,.240,.291,.343,.634,,,,,,,,,,,,
355,Howie Clark\clarkho02,2007-11-21,Minnesota Twins,TOR,34,-0.1,5,130,294,36,77,3,25,1,28,.262,.331,.354,.685,,,,,,,,,,,,
356,Roy Corcoran\corcoro01,2007-11-21,Seattle Mariners,FLA,28,-0.4,3,16,2,0,0,0,0,0,1,.000,.333,.000,.333,0,1,5.89,2.073,16,0,0,18.1,26,1,12,12
357,Jason Kendall\kendaja01,2007-11-21,Milwaukee Brewers,CHC,34,7.4,12,1682,6225,897,1848,71,615,162,588,.297,.375,.394,.768,,,,,,,,,,,,
358,Justin Knoedler\knoedju01,2007-11-21,Oakland Athletics,SFG,27,-0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
359,Ryan Roberts\roberry01,2007-11-21,Texas Rangers,TOR,27,-0.2,2,17,26,3,2,1,1,0,3,.077,.200,.192,.392,,,,,,,,,,,,
360,Jason Stanford\stanfja01,2007-11-21,Washington Nationals,CLE,31,0.2,3,1,2,0,0,0,0,0,0,.000,.000,.000,.000,2,5,3.61,1.374,23,12,0,87.1,92,6,28,51
361,Cory Bailey\baileco01,2007-11-20,Chicago Cubs,CHC,37,,14,,,,,,,,,,,,,,,,,,,,,,,,
362,Rick Bauer\bauerri01,2007-11-20,Cleveland Indians,LAD,31,0.9,6,13,0,0,0,0,0,0,0,,,,,11,14,4.34,1.383,183,10,3,311.0,312,34,118,181
363,Andres Blanco\blancan01,2007-11-20,Chicago Cubs,KCR,24,-0.2,3,78,226,24,57,0,19,1,10,.252,.290,.314,.605,,,,,,,,,,,,
364,Geoff Blum\blumge01,2007-11-20,Houston Astros,SDP,35,1.7,9,1022,2981,345,749,71,344,18,256,.251,.312,.386,.699,,,,,,,,,,,,
365,Matt Childers\childma01,2007-11-20,Philadelphia Phillies,PHI,29,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,
366,JD Closser\clossjd01,2007-11-20,Chicago Cubs,OAK,28,-0.5,3,,,,,,,,,,,,,,,,,,,,,,,,
367,Jason Dubois\duboija01,2007-11-20,Washington Nationals,BAL,29,-0.7,3,,,,,,,,,,,,,,,,,,,,,,,,
368,Michael Restovich\restomi01,2007-11-20,Philadelphia Phillies,WSN,29,-0.5,6,152,268,37,64,6,21,1,28,.239,.313,.377,.690,,,,,,,,,,,,
369,Jason Shiell\shielja01,2007-11-20,Milwaukee Brewers,KCR,31,-0.4,5,,,,,,,,,,,,,,,,,,,,,,,,
370,Mike Smith\smithmi06,2007-11-20,Chicago Cubs,STL,30,-0.2,5,,,,,,,,,,,,,,,,,,,,,,,,
371,Dennis Tankersley\tankede01,2007-11-20,Washington Nationals,DET,29,,5,,,,,,,,,,,,,,,,,,,,,,,,
372,Andres Torres\torrean02,2007-11-20,Chicago Cubs,DET,30,-0.1,4,89,257,33,54,1,13,9,17,.210,.258,.276,.534,,,,,,,,,,,,
373,Andy Tracy\tracyan01,2007-11-20,Philadelphia Phillies,NYM,34,,3,136,263,34,59,13,41,1,29,.224,.302,.418,.720,,,,,,,,,,,,
374,Brandon Watson\watsobr01,2007-11-20,Philadelphia Phillies,WSN,26,-0.4,3,40,86,10,17,1,7,2,6,.198,.250,.279,.529,,,,,,,,,,,,
375,Chip Ambres\ambrech01,2007-11-19,San Diego Padres,NYM,28,-0.2,2,56,148,25,36,4,10,3,16,.243,.323,.378,.702,,,,,,,,,,,,
376,Luis Castillo\castilu01,2007-11-19,New York Mets,NYM,32,8.9,12,1405,5479,850,1611,24,358,325,642,.294,.368,.358,.726,,,,,,,,,,,,
377,Troy Cate\catetr01,2007-11-19,Oakland Athletics,STL,27,0.2,1,14,1,0,0,0,0,0,0,.000,.000,.000,.000,0,0,3.38,1.688,14,0,0,16.0,18,1,9,12
378,Jason Childers\childja01,2007-11-19,Chicago White Sox,CHW,33,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
379,Lee Gronkiewicz\gronkle01,2007-11-19,Boston Red Sox,TOR,29,0.1,1,0,0,0,0,0,0,0,0,,,,,0,0,2.25,1.000,1,0,0,4.0,2,1,2,2
380,Michel Hernandez\hernami01,2007-11-19,Pittsburgh Pirates,TBD,29,,1,5,4,0,1,0,0,0,1,.250,.400,.250,.650,,,,,,,,,,,,
381,Mike Lowell\lowelmi01,2007-11-19,Boston Red Sox,BOS,34,7.4,10,1296,4731,636,1323,184,778,26,454,.280,.344,.468,.811,,,,,,,,,,,,
382,Mariano Rivera HOF\riverma01,2007-11-19,New York Yankees,NYY,38,9.9,13,47,1,0,0,0,0,0,0,.000,.000,.000,.000,62,44,2.35,1.046,787,10,443,953.0,759,49,238,857
383,Chris Barnwell\barnwch01,2007-11-18,Florida Marlins,MIL,29,-0.5,1,,,,,,,,,,,,,,,,,,,,,,,,
384,Tom Glavine HOF\glavito02,2007-11-18,Atlanta Braves,NYM,42,10.0,21,674,1304,91,244,1,89,1,98,.187,.244,.212,.456,303,199,3.51,1.309,669,669,0,4350.0,4231,345,1463,2570
385,Greg Maddux HOF\maddugr01,2007-11-18,San Diego Padres,SDP,42,8.5,22,704,1536,102,266,5,81,10,33,.173,.193,.208,.401,347,214,3.11,1.141,711,707,0,4814.1,4522,332,969,3273
386,Yurendell de Caster\decasyu01,2007-11-17,Washington Nationals,PIT,28,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
387,Eddie Rogers\rogered01,2007-11-17,Washington Nationals,BOS,29,-0.5,5,,,,,,,,,,,,,,,,,,,,,,,,
388,William Bergolla\bergowi01,2007-11-16,Washington Nationals,SFG,25,-0.4,2,,,,,,,,,,,,,,,,,,,,,,,,
389,Ramon Castro\castrra01,2007-11-16,New York Mets,NYM,32,1.8,9,398,945,103,221,41,137,1,106,.234,.310,.413,.723,,,,,,,,,,,,
390,Hector Gimenez\gimenhe01,2007-11-16,Tampa Bay Devil Rays,HOU,25,-0.1,1,2,2,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
391,Arnie Munoz\munozar01,2007-11-16,Washington Nationals,WSN,26,-0.1,2,14,1,0,0,0,0,0,0,.000,.000,.000,.000,0,1,9.15,2.288,24,1,0,19.2,26,6,19,14
392,Chris Richard\richach01,2007-11-16,Tampa Bay Devil Rays,TBD,34,,4,267,880,131,227,34,122,18,77,.258,.324,.452,.777,,,,,,,,,,,,
393,Kevin Cash\cashke01,2007-11-15,Boston Red Sox,BOS,30,-0.2,5,126,359,35,60,7,35,0,20,.167,.223,.265,.488,,,,,,,,,,,,
394,Antonio Perez\perezan01,2007-11-15,Washington Nationals,OAK,28,0.1,4,,,,,,,,,,,,,,,,,,,,,,,,
395,Mike Bacsik\bacsimi02,2007-11-14,Washington Nationals,WSN,30,-0.1,5,42,50,1,5,0,3,0,1,.100,.118,.140,.258,10,13,5.46,1.486,51,35,0,216.0,261,41,60,97
396,Colter Bean\beanco01,2007-11-14,Atlanta Braves,NYY,31,-0.2,3,1,0,0,0,0,0,0,0,,,,,0,1,9.00,2.429,6,0,0,7.0,8,0,9,5
397,Randy Choate\choatra01,2007-11-14,Milwaukee Brewers,ARI,32,-0.2,8,115,5,0,0,0,0,0,0,.000,.000,.000,.000,5,7,4.64,1.479,196,0,0,165.0,157,5,87,129
398,Todd Linden\lindeto01,2007-11-14,Oakland Athletics,FLA,28,-1.3,5,270,502,64,116,8,36,8,44,.231,.303,.335,.638,,,,,,,,,,,,
399,Carlos Maldonado\maldoca03,2007-11-14,Pittsburgh Pirates,PIT,29,-0.3,2,21,43,2,7,2,4,1,6,.163,.260,.326,.586,,,,,,,,,,,,
400,Zach McClellan\mccleza01,2007-11-14,Colorado Rockies,COL,29,-0.1,1,12,1,0,0,0,0,0,0,.000,.000,.000,.000,1,0,5.79,1.786,12,0,0,14.0,20,0,5,13
401,Donnie Sadler\sadledo01,2007-11-14,Milwaukee Brewers,ARI,33,0.0,8,418,768,125,155,6,46,25,55,.202,.262,.284,.546,,,,,,,,,,,,
402,Travis Dawkins\dawkitr01,2007-11-13,Philadelphia Phillies,PHI,29,,8,,,,,,,,,,,,,,,,,,,,,,,,
403,Corky Miller\milleco01,2007-11-13,Atlanta Braves,ATL,32,-0.2,7,101,275,23,54,7,30,1,25,.196,.287,.324,.611,,,,,,,,,,,,
404,Jorge Posada\posadjo01,2007-11-13,New York Yankees,NYY,36,13.7,13,1432,4814,744,1334,218,861,16,766,.277,.381,.479,.860,,,,,,,,,,,,
405,Todd Jones\jonesto02,2007-11-12,Detroit Tigers,DET,40,3.7,15,467,19,1,4,0,0,0,1,.211,.250,.263,.513,54,62,3.93,1.404,937,1,301,1030.1,1022,88,425,854
406,J.C. Romero\romerj.01,2007-11-11,Philadelphia Phillies,PHI,32,1.9,9,71,4,1,1,0,0,0,0,.250,.250,.500,.750,28,24,4.30,1.499,466,22,3,512.1,491,44,277,409
407,Omar Vizquel\vizquom01,2007-11-07,San Francisco Giants,SFG,41,5.1,19,2588,9479,1337,2598,77,869,380,941,.274,.340,.357,.697,,,,,,,,,,,,
408,Marlon Anderson\anderma02,2007-11-06,New York Mets,NYM,34,2.9,10,1060,3062,376,820,62,361,69,218,.268,.317,.396,.713,,,,,,,,,,,,
409,Curt Schilling\schilcu01,2007-11-06,Boston Red Sox,BOS,41,10.0,20,402,773,39,117,0,29,1,25,.151,.178,.171,.348,216,146,3.46,1.137,569,436,22,3261.0,2998,347,711,3116
410,Bobby Keppel\keppebo01,2007-11-05,Florida Marlins,COL,26,-0.1,2,6,2,0,0,0,0,0,0,.000,.000,.000,.000,0,4,6.10,1.800,12,6,0,38.1,51,7,18,21
411,Scott McClain\mcclasc01,2007-11-02,San Francisco Giants,SFG,36,-0.3,3,30,45,4,6,0,1,0,4,.133,.220,.156,.376,,,,,,,,,,,,
412,Matt Stairs\stairma01,2007-11-02,Toronto Blue Jays,TOR,40,3.7,15,1541,4600,691,1228,241,815,27,632,.267,.359,.488,.847,,,,,,,,,,,,
413,Damion Easley\easleda01,2007-10-31,New York Mets,NYM,38,2.5,16,1593,5168,702,1301,157,640,114,491,.252,.329,.406,.735,,,,,,,,,,,,
414,Brad Ausmus\ausmubr01,2007-10-30,Houston Astros,HOU,39,0.1,15,1833,5905,690,1490,76,572,101,597,.252,.326,.346,.672,,,,,,,,,,,,
415,Jason Wood\woodja02,2007-10-24,Florida Marlins,FLA,38,0.3,4,150,198,25,49,5,36,1,14,.247,.296,.379,.675,0,0,0.00,0.000,1,0,0,1.0,0,0,0,0
416,Willie Eyre\eyrewi01,2007-10-21,Texas Rangers,TEX,29,-0.1,2,5,1,0,0,0,0,0,0,.000,.000,.000,.000,5,6,5.23,1.626,75,2,1,127.1,153,16,54,68
417,Josh Kroeger\kroegjo01,2007-10-20,Chicago Cubs,CHC,25,,3,,,,,,,,,,,,,,,,,,,,,,,,
418,J.J. Trujillo\trujijj01,2007-10-16,Philadelphia Phillies,PHI,32,,5,,,,,,,,,,,,,,,,,,,,,,,,
419,Bob Wickman\wickmbo01,2007-09-07,Arizona Diamondbacks,ATL,39,3.1,15,275,2,0,0,0,0,0,0,.000,.000,.000,.000,63,61,3.57,1.400,835,28,267,1059.0,1051,80,432,785
