Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
48,Corey Patterson\patteco01,2008-03-05,Cincinnati Reds,BAL,28,4.8,8,856,3100,433,801,94,329,168,153,.258,.298,.414,.712,,,,,,,,,,,,
49,Dewayne Wise\wisede01,2008-03-05,Chicago White Sox,CIN,30,-0.5,5,183,339,45,68,9,32,12,15,.201,.238,.360,.598,,,,,,,,,,,,
50,Ramon Martinez\martira03,2008-02-29,Los Angeles Dodgers,LAD,35,-2.5,10,779,1894,222,501,29,235,9,167,.265,.324,.370,.694,,,,,,,,,,,,
51,Miguel Asencio\asencmi01,2008-02-27,Boston Red Sox,HOU,27,-0.3,5,,,,,,,,,,,,,,,,,,,,,,,,
52,Mike Kinkade\kinkami01,2008-02-25,Seattle Mariners,NYY,35,,9,,,,,,,,,,,,,,,,,,,,,,,,
53,Shannon Stewart\stewash01,2008-02-25,Toronto Blue Jays,OAK,34,1.9,13,1334,5399,839,1611,114,566,193,482,.298,.362,.434,.795,,,,,,,,,,,,
54,Bartolo Colon\colonba01,2008-02-24,Boston Red Sox,LAA,35,3.0,11,37,83,1,10,0,5,0,0,.120,.129,.120,.250,146,95,4.10,1.333,309,306,0,1975.1,1955,238,679,1542
55,Odalis Perez\perezod01,2008-02-23,Washington Nationals,KCR,30,-0.5,9,179,287,21,37,1,10,0,6,.129,.150,.167,.317,66,70,4.47,1.327,222,191,0,1175.1,1227,140,333,801
56,Brady Clark\clarkbr02,2008-02-22,New York Mets,SDP,35,2.5,8,778,2007,264,557,36,209,47,207,.278,.358,.387,.744,,,,,,,,,,,,
57,Josh Fogg\foggjo01,2008-02-21,Cincinnati Reds,COL,31,0.0,7,181,304,18,36,0,11,1,11,.118,.152,.128,.280,60,60,4.90,1.463,197,179,0,1035.0,1164,141,350,555
58,Jason Tyner\tynerja01,2008-02-21,Cleveland Indians,MIN,31,2.4,7,439,1356,168,373,1,94,61,68,.275,.314,.324,.637,,,,,,,,,,,,
59,Kris Benson\bensokr01,2008-02-20,Philadelphia Phillies,BAL,33,4.0,7,162,316,23,41,1,22,0,15,.130,.174,.161,.336,68,73,4.34,1.378,195,195,0,1207.1,1241,144,423,787
60,Russell Branyan\branyru01,2008-02-20,Milwaukee Brewers,STL,32,2.1,10,716,1868,259,427,121,300,10,262,.229,.327,.478,.804,,,,,,,,,,,,
61,Shawn Chacon\chacosh01,2008-02-20,Houston Astros,PIT,30,5.1,7,214,174,12,27,1,10,0,3,.155,.174,.195,.370,43,58,4.98,1.509,254,119,36,836.1,828,121,434,566
62,Byung-Hyun Kim\kimby01,2008-02-20,Pittsburgh Pirates,FLA,29,0.3,9,322,153,4,19,0,10,0,6,.124,.156,.144,.300,54,60,4.42,1.376,394,87,86,841.0,781,94,376,806
63,Trot Nixon\nixontr01,2008-02-20,Arizona Diamondbacks,CLE,34,3.3,11,1081,3592,577,989,136,554,29,498,.275,.364,.466,.830,,,,,,,,,,,,
64,Bubba Crosby\crosbbu01,2008-02-19,Seattle Mariners,CIN,31,-1.0,4,,,,,,,,,,,,,,,,,,,,,,,,
65,Ron Villone\villoro01,2008-02-19,St. Louis Cardinals,NYY,38,1.0,13,262,169,7,22,1,7,0,1,.130,.140,.178,.318,55,57,4.76,1.484,580,93,6,1069.1,1016,126,571,842
66,Juan Padilla\padilju01,2008-02-18,New York Mets,NYM,31,1.4,3,,,,,,,,,,,,,,,,,,,,,,,,
67,Jose Valentin\valenjo03,2008-02-18,New York Mets,NYM,38,3.3,16,1678,5539,872,1348,249,816,136,630,.243,.321,.448,.769,,,,,,,,,,,,
68,Mike Maroth\marotmi01,2008-02-17,Kansas City Royals,STL,30,-1.3,6,26,30,3,7,0,3,1,2,.233,.281,.267,.548,50,67,5.05,1.460,161,150,0,918.0,1078,133,262,443
69,Scott Podsednik\podsesc01,2008-02-17,Colorado Rockies,CHW,32,1.8,7,657,2469,384,672,27,186,224,232,.272,.338,.377,.715,,,,,,,,,,,,
70,Nook Logan\loganno01,2008-02-16,Los Angeles Dodgers,WSN,28,2.4,4,321,870,111,233,2,56,56,59,.268,.314,.346,.660,,,,,,,,,,,,
71,Matt LeCroy\lecroma01,2008-02-15,Oakland Athletics,MIN,32,0.1,8,476,1388,146,361,60,218,0,123,.260,.326,.440,.766,,,,,,,,,,,,
72,John Parrish\parrijo01,2008-02-15,Toronto Blue Jays,SEA,30,0.0,6,17,1,0,0,0,0,0,0,.000,.000,.000,.000,12,12,4.63,1.735,161,10,1,229.1,229,20,169,200
73,Chris Spurling\spurlch01,2008-02-15,Milwaukee Brewers,MIL,31,0.6,4,62,0,0,0,0,0,0,0,,,,,6,8,4.32,1.324,187,0,3,219.0,224,28,66,99
74,Ben Johnson\johnsbe02,2008-02-14,New York Mets,NYM,27,0.2,3,98,222,31,51,7,26,3,27,.230,.313,.414,.728,,,,,,,,,,,,
75,David Newhan\newhada01,2008-02-14,Houston Astros,NYM,34,-1.0,7,349,882,137,222,21,108,28,74,.252,.313,.378,.691,,,,,,,,,,,,
76,Ricardo Rincon\rincori01,2008-02-14,New York Mets,SFG,38,0.0,10,142,4,0,0,0,0,0,0,.000,.000,.000,.000,21,24,3.58,1.319,557,0,21,439.2,380,40,200,397
77,Chris Aguila\aguilch01,2008-02-12,New York Mets,PIT,29,-0.7,3,141,218,26,51,3,16,2,14,.234,.280,.353,.633,,,,,,,,,,,,
78,Livan Hernandez\hernali01,2008-02-12,Minnesota Twins,ARI,33,7.5,12,345,789,57,183,9,73,0,6,.232,.241,.314,.555,134,128,4.25,1.425,351,350,0,2371.0,2549,271,830,1546
79,Olmedo Saenz\saenzol01,2008-02-12,New York Mets,LAD,37,0.5,9,733,1663,226,438,73,275,3,148,.263,.340,.465,.805,,,,,,,,,,,,
80,Mark Sweeney\sweenma01,2008-02-12,Los Angeles Dodgers,LAD,38,2.5,13,1120,1738,218,452,42,245,16,244,.260,.352,.399,.751,,,,,,,,,,,,
81,Tony Clark\clarkto02,2008-02-11,San Diego Padres,ARI,36,2.3,13,1415,4315,610,1142,244,789,6,485,.265,.339,.491,.830,,,,,,,,,,,,
82,Dave Gassner\gassnda01,2008-02-11,Cincinnati Reds,MIN,29,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
83,Doug Mientkiewicz\mientdo01,2008-02-11,Pittsburgh Pirates,NYY,34,4.6,10,942,3009,385,814,64,372,14,393,.271,.358,.407,.766,,,,,,,,,,,,
84,Mike Sweeney\sweenmi01,2008-02-11,Oakland Athletics,KCR,34,1.9,13,1282,4669,700,1398,197,837,50,484,.299,.369,.492,.861,,,,,,,,,,,,
85,Steve Trachsel\trachst01,2008-02-11,Baltimore Orioles,CHC,37,2.5,15,348,651,49,106,3,40,1,26,.163,.197,.206,.403,141,154,4.32,1.402,410,409,0,2461.1,2534,338,916,1575
86,Jose Santiago\santijo03,2008-02-09,New York Mets,NYM,33,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,
87,Alberto Castillo\castial01,2008-02-08,Houston Astros,BAL,38,0.3,12,418,1026,98,226,12,101,3,103,.220,.293,.297,.590,,,,,,,,,,,,
88,Scott Elarton\elartsc01,2008-02-08,Cleveland Indians,CLE,32,-0.8,9,144,166,13,23,0,3,0,5,.139,.188,.157,.344,56,60,5.31,1.429,224,170,3,1050.0,1091,192,409,683
89,Keith Foulke\foulkke01,2008-02-08,Oakland Athletics,CLE,35,0.6,10,47,16,0,2,0,0,0,0,.125,.125,.125,.250,41,34,3.30,1.065,588,8,190,755.2,624,87,181,695
90,Jeff Fulchino\fulchje01,2008-02-08,Kansas City Royals,FLA,28,0.0,1,0,0,0,0,0,0,0,0,,,,,0,0,0.00,3.000,1,0,0,0.1,0,0,1,0
91,Bobby Kielty\kieltbo01,2008-02-08,Boston Red Sox,BOS,31,2.3,7,599,1792,257,456,53,253,21,246,.254,.348,.408,.757,,,,,,,,,,,,
92,Julio Mateo\mateoju01,2008-02-08,San Francisco Giants,PHI,30,2.3,6,15,0,0,0,0,0,0,0,,,,,18,12,3.68,1.203,219,1,2,318.1,298,45,85,216
93,Victor Zambrano\zambrvi01,2008-02-08,Colorado Rockies,BAL,32,0.2,7,49,73,3,9,0,3,0,0,.123,.135,.164,.300,45,44,4.64,1.519,187,100,3,706.1,669,78,404,529
94,Brendan Donnelly\donnebr01,2008-02-06,Cleveland Indians,BOS,36,1.6,6,23,1,0,0,0,0,0,0,.000,.000,.000,.000,25,9,2.88,1.166,303,0,4,315.2,258,26,110,310
95,Eric Hinske\hinsker01,2008-02-06,,BOS,30,1.8,6,770,2525,386,645,85,339,50,299,.255,.336,.434,.770,,,,,,,,,,,,
96,Trever Miller\milletr02,2008-02-06,,HOU,35,1.9,9,245,6,1,1,0,0,0,0,.167,.167,.333,.500,12,14,4.46,1.515,451,5,8,379.0,396,43,178,310
97,Junior Spivey\spiveju01,2008-02-05,Boston Red Sox,BOS,33,1.8,6,,,,,,,,,,,,,,,,,,,,,,,,
98,Steve Torrealba\torrest01,2008-02-04,Boston Red Sox,DET,30,,6,,,,,,,,,,,,,,,,,,,,,,,,
99,Mike Myers\myersmi01,2008-02-03,Los Angeles Dodgers,CHW,39,1.8,13,428,2,0,0,0,0,0,0,.000,.000,.000,.000,25,24,4.29,1.442,883,0,14,541.2,525,58,256,429
100,Steve Andrade\andrast01,2008-02-01,,TBD,30,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
101,Paul Bako\bakopa01,2008-02-01,Cincinnati Reds,BAL,36,-0.7,10,646,1787,153,417,15,151,4,186,.233,.306,.315,.621,,,,,,,,,,,,
102,Sean Casey\caseyse01,2008-02-01,Boston Red Sox,DET,33,0.9,11,1336,4867,676,1467,130,718,17,460,.301,.366,.450,.816,,,,,,,,,,,,
103,Andy Gonzalez\gonzaan01,2008-02-01,Cleveland Indians,CHW,26,-1.4,1,67,189,17,35,2,11,1,25,.185,.280,.249,.529,,,,,,,,,,,,
104,Scott Sauerbeck\sauersc01,2008-02-01,Cincinnati Reds,TOR,36,0.0,8,,,,,,,,,,,,,,,,,,,,,,,,
105,Ezequiel Astacio\astacez01,2008-01-31,Cincinnati Reds,TEX,28,-1.3,2,,,,,,,,,,,,,,,,,,,,,,,,
106,Morgan Ensberg\ensbemo01,2008-01-31,New York Yankees,SDP,32,9.6,7,703,2130,334,564,109,343,22,326,.265,.366,.476,.841,,,,,,,,,,,,
107,Mike Gallo\gallomi01,2008-01-31,Toronto Blue Jays,COL,31,0.3,4,,,,,,,,,,,,,,,,,,,,,,,,
108,Luis Gonzalez\gonzalu01,2008-01-31,Florida Marlins,LAD,40,3.7,18,2455,8816,1382,2502,346,1392,127,1114,.284,.368,.481,.849,,,,,,,,,,,,
109,Chris Heintz\heintch01,2008-01-31,Baltimore Orioles,MIN,33,-0.8,3,34,82,1,19,0,9,0,4,.232,.267,.268,.536,,,,,,,,,,,,
110,Jorge Julio\juliojo01,2008-01-31,Cleveland Indians,COL,29,-0.6,7,139,1,0,0,0,0,0,2,.000,.667,.000,.667,13,33,4.35,1.415,411,0,99,419.2,395,60,199,401
111,Dallas McPherson\mcpheda01,2008-01-31,Florida Marlins,LAA,27,1.0,3,117,360,50,89,18,45,5,23,.247,.294,.461,.755,,,,,,,,,,,,
112,Brian Moehler\moehlbr01,2008-01-31,Houston Astros,HOU,36,0.2,11,125,106,3,6,0,5,0,4,.057,.107,.066,.173,64,83,4.75,1.456,252,189,1,1206.0,1415,153,341,658
113,Brad Wilkerson\wilkebr01,2008-01-31,Seattle Mariners,TEX,31,2.6,7,868,2923,479,730,118,371,50,457,.250,.354,.451,.804,,,,,,,,,,,,
114,Trey Hodges\hodgetr01,2008-01-30,Texas Rangers,ATL,30,,5,,,,,,,,,,,,,,,,,,,,,,,,
115,Johnny Estrada\estrajo01,2008-01-29,Washington Nationals,NYM,32,-0.3,7,589,2026,198,567,42,281,0,102,.280,.320,.406,.726,,,,,,,,,,,,
116,Kevin Gryboski\gryboke01,2008-01-29,San Francisco Giants,PIT,34,-1.6,5,,,,,,,,,,,,,,,,,,,,,,,,
117,Pedro Feliz\felizpe01,2008-01-28,Philadelphia Phillies,SFG,33,4.9,8,874,2840,346,716,109,418,12,149,.252,.288,.433,.721,,,,,,,,,,,,
118,Abraham Nunez\nunezab01,2008-01-27,Milwaukee Brewers,PHI,32,-0.2,11,1028,2484,286,601,18,209,38,250,.242,.313,.314,.628,,,,,,,,,,,,
119,Rod Barajas\barajro01,2008-01-26,Toronto Blue Jays,PHI,32,2.5,9,584,1743,212,417,62,235,1,106,.239,.288,.408,.696,,,,,,,,,,,,
120,Nick Gorneault\gorneni01,2008-01-26,Houston Astros,TEX,29,0.0,1,2,4,1,0,0,0,0,1,.000,.200,.000,.200,,,,,,,,,,,,
121,Luis Ordaz\ordazlu01,2008-01-25,Pittsburgh Pirates,PIT,32,-0.1,10,,,,,,,,,,,,,,,,,,,,,,,,
122,Hector Carrasco\carrahe01,2008-01-24,Pittsburgh Pirates,WSN,38,3.6,12,283,26,1,1,0,0,0,0,.038,.038,.038,.077,44,50,4.00,1.416,647,10,19,832.1,792,69,387,662
