,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,uBB,1B,PA,R/PA,league_scalar,lgID,lg_PA,lg_wRC,park_factor,playerID,player_season,stint,teamID,w1B,w2B,w3B,wHBP,wHR,wuBB,yearID,year_lg,year_team,year_wOBA,year_wOBAScale,wOBA,wRAA,wRC+,wRC+_t-1,is_signed,is_unsigned,is_fa,service_time
belliro01_2010,82,162,24,35,10,1,2,19.0,2.0,2.0,18,35.0,1.0,1.0,2.0,2.0,4.0,17.0,22,185.0,0.115,0.11986761371573484,NL,93061,11155,95,belliro01,belliro01_2010,1,LAN,0.895,1.27,1.608,0.732,2.072,0.701,2010,2010_NL,2010_LAN,0.321,1.251,0.2790714285714286,-6.200468196871075,72.77525011840434,104.11718942419445,True,False,True,
belljo01_2010,53,159,15,34,5,0,3,12.0,0.0,1.0,2,53.0,0.0,0.0,0.0,0.0,4.0,2.0,26,161.0,0.115,0.11770830923016405,AL,86434,10174,103,belljo01,belljo01_2010,1,BAL,0.895,1.27,1.608,0.732,2.072,0.701,2010,2010_AL,2010_BAL,0.321,1.251,0.23129192546583852,-11.545163868904877,33.84714971026353,,False,False,False,
belljo01_2011,26,61,6,10,0,0,0,6.0,0.0,0.0,4,25.0,0.0,0.0,0.0,0.0,1.0,4.0,10,65.0,0.11199999999999999,0.11638486265681029,AL,86171,10029,103,belljo01,belljo01_2011,1,BAL,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_AL,2011_BAL,0.316,1.264,0.17963076923076923,-7.0126582278481004,0.6469486869771961,33.84714971026353,False,False,False,
belljo01_2012,21,52,3,9,2,0,1,4.0,0.0,0.0,4,14.0,1.0,0.0,0.0,0.0,3.0,3.0,6,56.0,0.114,0.11916426045485513,NL,92469,11019,104,belljo01,belljo01_2012,1,ARI,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_NL,2012_ARI,0.315,1.245,0.21725454545454548,-4.396582694414018,25.955428770796903,0.6469486869771961,True,False,True,
belljo02_2016,45,128,18,35,8,0,3,19.0,0.0,1.0,21,19.0,0.0,0.0,0.0,3.0,4.0,21.0,24,152.0,0.11800000000000001,0.12316953373083865,NL,87546,10783,98,belljo02,belljo02_2016,1,PIT,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_NL,2016_PIT,0.318,1.212,0.33923684210526317,2.6633663366336644,111.94501008086138,,False,False,False,
belljo02_2017,159,549,75,140,26,6,26,90.0,2.0,4.0,66,117.0,4.0,1.0,0.0,4.0,15.0,62.0,82,620.0,0.122,0.12856540517133316,NL,87753,11282,98,belljo02,belljo02_2017,1,PIT,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_NL,2017_PIT,0.321,1.185,0.33835551948051945,9.080524960271775,108.18307445543758,111.94501008086138,False,False,False,
belljo02_2018,148,501,74,131,31,4,12,62.0,2.0,5.0,77,104.0,2.0,0.0,0.0,5.0,12.0,75.0,84,583.0,0.11699999999999999,0.12212761126248865,NL,88080,10757,98,belljo02,belljo02_2018,1,PIT,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_NL,2018_PIT,0.315,1.226,0.3356471600688469,9.818347732575633,111.50719752928461,108.18307445543758,False,False,False,
belloed01_2007,3,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.0,0.124,0.1298514362562777,NL,95178,12359,108,belloed01,belloed01_2007,1,COL,0.8959999999999999,1.253,1.575,0.741,1.999,0.711,2007,2007_NL,2007_COL,0.331,1.192,0.0,-0.5553691275167786,-125.99364972405515,,False,False,False,
belloed01_2008,3,3,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.12,0.12559485326069675,NL,94351,11850,108,belloed01,belloed01_2008,1,COL,0.8959999999999999,1.2590000000000001,1.587,0.7390000000000001,2.024,0.708,2008,2008_NL,2008_COL,0.32799999999999996,1.2109999999999999,0.29866666666666664,-0.07266721717588769,68.61554596972665,-125.99364972405515,False,False,False,
belloed01_2009,2,8,1,2,0,0,0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,9.0,0.12,0.1230072463768116,NL,93840,11543,110,belloed01,belloed01_2009,1,COL,0.895,1.258,1.585,0.737,2.023,0.7070000000000001,2009,2009_NL,2009_COL,0.32899999999999996,1.21,0.22375,-0.7828512396694212,17.08560230772041,68.61554596972665,True,False,True,
